id,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
4969,27,Private,253814,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,38,United-States
5561,46,Private,93557,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
23746,54,Private,174102,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States
45688,47,Private,583755,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States
32087,45,Self-emp-inc,84324,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States
13791,54,Private,335177,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,45,
28786,42,Private,160893,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,23,United-States
13097,47,Private,159399,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States
17816,30,Private,197058,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States
11863,49,Self-emp-not-inc,27067,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,60,United-States
26560,28,Private,75695,Some-college,10,Separated,Other-service,Not-in-family,White,Female,0,0,60,United-States
18508,32,Local-gov,222900,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States
43493,56,Federal-gov,156229,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,40,United-States
34499,34,,166545,Some-college,10,Married-civ-spouse,,Wife,White,Female,7688,0,6,United-States
45370,36,Private,247321,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States
13941,22,Local-gov,131573,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,25,United-States
43852,67,Private,150516,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,24,United-States
45988,38,Private,22245,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
19979,44,Self-emp-not-inc,158555,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
15532,33,Private,137421,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,35,Japan
37992,25,Private,126974,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States
2286,47,Private,145636,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
4029,37,Private,280966,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
19808,24,Private,102493,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
4932,56,Private,192845,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,40,United-States
24608,43,State-gov,33331,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,70,United-States
41741,34,Private,27494,HS-grad,9,Divorced,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,0,0,48,United-States
34715,58,Private,116901,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,25,United-States
34104,44,Self-emp-not-inc,149943,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,60,Taiwan
43034,44,Private,115411,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States
28962,34,Private,152453,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Guatemala
46133,37,Private,73471,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,47,United-States
32005,45,Private,178922,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,20,United-States
10439,44,Private,122381,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States
44981,40,Private,125776,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
6821,44,Self-emp-not-inc,122749,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,Germany
8278,22,Private,126822,10th,6,Never-married,Sales,Own-child,White,Female,0,0,30,United-States
6543,31,Private,33731,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,40,United-States
36326,32,Private,27051,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,44,United-States
40835,34,State-gov,204461,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States
27466,46,Private,172581,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,50,United-States
5181,55,,229029,Bachelors,13,Married-civ-spouse,,Husband,White,Male,5178,0,20,United-States
7638,41,Private,190786,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,40,United-States
1143,44,State-gov,204361,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States
3570,29,Private,199411,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
45361,45,Private,98475,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States
26238,39,Private,149943,Masters,14,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,0,0,40,China
9932,59,Private,47534,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States
26045,44,Self-emp-not-inc,264740,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
41339,27,Private,289147,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States
26527,55,Private,90414,Bachelors,13,Married-spouse-absent,Craft-repair,Unmarried,White,Female,0,0,55,Ireland
8850,40,Private,96497,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
23037,20,Private,221661,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,Mexico
32838,31,Private,240283,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States
28780,29,Private,340534,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,44,United-States
33091,31,,85077,Bachelors,13,Married-civ-spouse,,Wife,White,Female,0,1902,20,United-States
9433,58,Self-emp-not-inc,21383,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
10406,42,Private,252392,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
23873,45,Private,51664,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
12104,57,Local-gov,173242,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,35,United-States
10907,47,Private,188694,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,45,United-States
25054,49,State-gov,142856,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
6912,49,Self-emp-not-inc,155862,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States
42650,46,Private,100067,11th,7,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,35,United-States
41132,23,Private,173679,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States
42201,24,Private,278130,Assoc-voc,11,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States
30092,56,Local-gov,391926,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
21334,57,Local-gov,118481,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,40,United-States
45750,49,Self-emp-not-inc,121238,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States
3704,43,Private,72338,Masters,14,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,0,0,40,United-States
12030,59,Private,200316,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
31529,39,Private,206951,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
14644,33,Private,93213,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States
23622,49,Local-gov,276247,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States
33401,37,Private,176967,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States
42872,43,Private,183273,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,15024,0,32,United-States
30619,20,Private,50397,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Male,0,0,20,United-States
3758,50,Private,178946,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States
25935,47,Local-gov,165822,Some-college,10,Divorced,Transport-moving,Unmarried,White,Male,0,0,40,United-States
6936,50,Private,30827,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States
8344,50,Private,98954,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States
47432,40,Private,254478,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,50,United-States
45311,38,Private,277248,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,Cuba
4157,45,Self-emp-inc,179030,Bachelors,13,Married-civ-spouse,Other-service,Other-relative,Asian-Pac-Islander,Female,0,0,35,South
42284,33,Private,341187,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
2186,39,Private,312271,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
41640,38,,94559,Bachelors,13,Married-civ-spouse,,Wife,Other,Female,7688,0,50,
23982,57,Private,245193,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States
28985,41,Federal-gov,214838,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States
43183,78,Private,105586,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,0,0,36,United-States
40009,44,Private,152150,Assoc-acdm,12,Separated,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States
48252,37,Self-emp-not-inc,338320,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States
45530,32,Private,206541,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States
43217,46,Self-emp-inc,201865,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States
4273,56,Private,242782,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,44,United-States
48535,31,Private,251659,Some-college,10,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,1485,55,
29938,20,Private,117618,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States
36225,35,Private,356238,Assoc-acdm,12,Never-married,Other-service,Not-in-family,White,Female,0,0,80,United-States
4563,35,Private,139770,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,29,United-States
11031,68,Private,34887,HS-grad,9,Widowed,Priv-house-serv,Not-in-family,White,Female,0,0,6,United-States
32550,50,Self-emp-not-inc,198581,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States
34389,37,Private,183800,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
7193,31,Private,289228,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,35,United-States
43921,38,Private,227945,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,65,United-States
17345,49,Private,175958,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,80,United-States
41181,45,Private,246891,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,72,Canada
29286,44,Private,116825,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,80,United-States
39052,40,Self-emp-inc,209344,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,15,
3607,34,Private,127651,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States
34255,46,Private,102569,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,65,United-States
4229,47,Federal-gov,146786,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
6872,21,Private,315476,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,25,United-States
26735,41,Private,340148,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States
37352,26,Local-gov,265230,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,40,United-States
37910,25,Private,93223,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,35,United-States
13458,19,Private,188618,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,24,United-States
37584,34,Private,111746,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,0,0,45,Portugal
35261,53,Private,149650,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,2559,48,United-States
30393,23,Federal-gov,39603,Some-college,10,Never-married,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,0,0,40,United-States
16000,56,Private,82050,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7298,0,40,United-States
2943,48,Private,165484,Bachelors,13,Separated,Sales,Not-in-family,White,Male,0,0,65,United-States
18714,42,State-gov,293791,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
23584,31,Private,183778,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,45,United-States
30929,65,State-gov,326691,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States
4265,23,,116934,10th,6,Married-civ-spouse,,Wife,White,Female,0,0,40,United-States
37321,30,Private,159187,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,55,United-States
2146,46,Private,117310,HS-grad,9,Separated,Sales,Not-in-family,White,Female,0,0,36,United-States
28473,33,Self-emp-not-inc,33404,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,65,United-States
30927,19,,425447,HS-grad,9,Never-married,,Unmarried,Black,Female,0,0,40,United-States
11550,57,Private,125000,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
27450,50,Private,202044,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,45,United-States
16311,23,Local-gov,190709,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52,United-States
17280,39,Self-emp-inc,329980,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States
853,48,Self-emp-not-inc,138069,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2042,50,United-States
5595,30,Private,181372,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States
19723,46,Private,207940,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States
14802,49,Private,186706,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,7688,0,40,United-States
32765,46,Private,155890,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
18379,52,Private,266529,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States
14229,47,Local-gov,251588,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,United-States
3933,61,Private,160143,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,15024,0,45,United-States
4949,61,Private,373099,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
23534,48,Private,166929,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,
13094,27,,105189,HS-grad,9,Never-married,,Own-child,White,Male,0,0,40,Germany
10644,51,Private,256466,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,50,Philippines
11645,23,Private,216129,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States
6753,57,Private,123515,Assoc-voc,11,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States
30570,65,Federal-gov,325089,10th,6,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States
31206,31,Private,113543,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States
1484,33,Self-emp-not-inc,79303,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States
31089,48,Private,345006,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,Mexico
624,31,Private,166248,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
25080,60,Private,182687,Assoc-acdm,12,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States
27481,37,Federal-gov,289653,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-States
6046,31,Private,373903,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
4408,61,Private,185584,Bachelors,13,Widowed,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,0,0,40,
4615,50,Private,180195,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,50,United-States
4851,26,State-gov,92795,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,80,United-States
33612,39,Private,184801,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
5003,43,Self-emp-inc,342510,Bachelors,13,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,60,United-States
1635,32,Private,337908,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,30,United-States
27593,50,Private,77905,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,8,United-States
23129,63,Private,161563,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States
13464,41,State-gov,205153,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
40423,47,Private,266860,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,65,United-States
24614,30,Private,208043,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States
44159,38,Federal-gov,261241,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States
40615,32,Private,222205,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States
37828,41,Self-emp-not-inc,38876,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States
15656,23,Private,197756,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,35,United-States
12619,43,Federal-gov,117022,Assoc-voc,11,Divorced,Handlers-cleaners,Unmarried,Black,Male,0,1726,40,United-States
18614,35,Private,199288,11th,7,Separated,Transport-moving,Not-in-family,White,Male,0,0,90,United-States
33465,23,Private,529223,Bachelors,13,Never-married,Sales,Own-child,Black,Male,0,0,10,United-States
39945,56,Private,204816,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States
27552,70,Private,235781,Some-college,10,Divorced,Farming-fishing,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Vietnam
10214,29,,168479,Bachelors,13,Never-married,,Not-in-family,White,Male,0,0,40,United-States
20686,45,Private,102096,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,
37542,45,Private,148171,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,40,United-States
24385,39,Private,179731,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,65,United-States
8480,21,Private,227307,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,43,United-States
22508,52,Private,347519,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States
1396,24,Private,103277,Assoc-voc,11,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States
7891,46,Private,37718,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,50,United-States
8435,43,Private,222756,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2002,44,United-States
25449,38,Private,127601,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States
35337,42,State-gov,192397,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,0,0,38,United-States
8919,25,Private,120596,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,44,United-States
7982,43,Private,163434,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
39642,40,Private,30682,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States
21332,52,Private,99185,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,7298,0,50,United-States
7220,20,Private,37932,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,45,United-States
26775,37,Private,161141,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
47905,29,Private,261725,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States
39834,53,Private,229465,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States
19055,55,Private,144071,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,18,United-States
45201,38,Private,87282,Assoc-voc,11,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,United-States
20920,30,Local-gov,125159,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Male,14084,0,45,
11163,33,State-gov,340899,Doctorate,16,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States
28384,54,Local-gov,365049,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,Mexico
3366,31,Private,103651,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States
43554,61,Self-emp-not-inc,243493,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,12,United-States
30877,43,Self-emp-not-inc,421837,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,7298,0,50,Mexico
5712,28,Private,212068,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,1980,40,United-States
20718,56,,132930,Masters,14,Never-married,,Not-in-family,White,Female,0,0,50,United-States
46181,38,Private,91039,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,65,United-States
10733,18,Private,294263,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,9,United-States
36588,47,Self-emp-not-inc,26145,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
1175,32,Private,287229,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States
6013,57,Self-emp-inc,199067,7th-8th,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,90,Greece
12725,45,Private,22610,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
12514,52,Local-gov,251841,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States
2418,31,Private,300497,Some-college,10,Divorced,Exec-managerial,Unmarried,Black,Male,0,0,40,United-States
10337,43,Private,222596,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States
46842,60,Private,132529,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
9288,30,Private,327112,11th,7,Separated,Sales,Not-in-family,White,Male,0,0,40,United-States
14857,33,Private,145437,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,43,United-States
5525,36,Private,36989,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
29676,42,Private,222884,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States
5610,38,Private,233571,Some-college,10,Married-civ-spouse,Tech-support,Wife,White,Female,0,1902,40,United-States
24693,31,Private,87891,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States
10880,40,Private,205680,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
29502,47,Self-emp-not-inc,166894,Some-college,10,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States
9798,35,Private,193094,HS-grad,9,Never-married,Prof-specialty,Unmarried,White,Female,0,0,35,United-States
289,30,Private,296462,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,40,United-States
